City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Fort Nelson,CA,58.8053,-122.7002,12.2,57,75,2.3,broken clouds
79,Carnarvon,AU,-24.8667,113.6333,75.2,83,0,6.91,clear sky
80,Blagoyevo,RU,63.3667,47.9167,22.6,94,100,9.55,light snow
81,Bristol,US,41.8334,-71.1662,64.0,19,1,3.09,clear sky
82,Riyadh,SA,24.6877,46.7219,84.2,10,0,9.22,clear sky
83,Alekseyevsk,RU,57.8406,108.3492,13.12,96,100,1.41,light snow
84,Zapotiltic,MX,19.6167,-103.4333,82.4,34,1,5.46,clear sky
85,Pereira Barreto,BR,-20.6383,-51.1092,88.39,50,68,3.74,broken clouds
86,Esperance,AU,-33.8667,121.9,66.2,72,0,13.8,clear sky
87,Nemuro,JP,43.3236,145.575,37.06,99,100,18.7,light rain
88,Kaitangata,NZ,-46.2817,169.8464,55.0,86,99,1.99,overcast clouds
89,Bethel,US,41.3712,-73.414,64.0,16,1,5.75,clear sky
90,Hailar,CN,49.2,119.7,23.72,62,9,8.21,clear sky
91,Cabo San Lucas,MX,22.8909,-109.9124,84.99,29,1,5.75,clear sky
92,Kapaa,US,22.0752,-159.319,71.6,68,20,20.71,few clouds
93,Puerto Escondido,MX,15.85,-97.0667,86.0,74,1,9.22,clear sky
94,Itarema,BR,-2.9248,-39.9167,83.66,65,99,14.72,overcast clouds
95,Caravelas,BR,-17.7125,-39.2481,82.81,63,48,7.16,scattered clouds
96,East London,ZA,-33.0153,27.9116,64.4,68,0,12.66,clear sky
97,Fort Saint James,CA,54.4333,-124.25,35.28,70,100,13.58,overcast clouds
98,Honiara,SB,-9.4333,159.95,75.96,79,100,2.77,overcast clouds
99,Aklavik,CA,68.2191,-135.0107,-16.6,76,40,2.3,scattered clouds
100,Manuk Mangkaw,PH,4.8,119.85,83.89,75,94,8.46,overcast clouds
101,Saint-Augustin,CA,51.226,-58.6502,32.67,97,94,15.55,overcast clouds
102,San Patricio,US,28.017,-97.5169,73.0,43,20,9.6,few clouds
103,Sandpoint,US,48.2766,-116.5533,39.0,80,90,3.44,light rain
104,Takoradi,GH,4.8845,-1.7554,82.81,77,21,12.12,few clouds
105,Flinders,AU,-34.5833,150.8552,68.0,98,100,4.0,moderate rain
106,Paita,PE,-5.0892,-81.1144,87.8,58,0,12.66,clear sky
107,Cairns,AU,-16.9167,145.7667,73.4,94,40,2.55,scattered clouds
108,Katobu,ID,-4.9408,122.5276,76.3,92,71,1.07,broken clouds
109,Tenamaxtlan,MX,20.2167,-104.1667,84.7,11,4,5.61,clear sky
110,Tessalit,ML,20.1986,1.0114,86.58,9,23,12.06,few clouds
111,Kavieng,PG,-2.5744,150.7967,82.99,74,99,6.51,moderate rain
112,Chipinge,ZW,-20.1883,32.6236,64.26,76,18,4.63,few clouds
113,Port Elizabeth,ZA,-33.918,25.5701,62.6,82,40,9.22,scattered clouds
114,Baglung,NP,28.2719,83.5898,60.91,40,29,6.24,scattered clouds
115,Chokurdakh,RU,70.6333,147.9167,-11.76,80,25,5.3,scattered clouds
116,Pevek,RU,69.7008,170.3133,-27.89,95,34,5.14,scattered clouds
117,Tazmalt,DZ,36.3868,4.3989,45.16,77,72,8.28,broken clouds
118,Ankpa,NG,7.3706,7.6253,88.07,42,80,6.62,broken clouds
119,Hasaki,JP,35.7333,140.8333,55.4,88,75,6.91,light rain
120,Avarua,CK,-21.2078,-159.775,78.8,89,75,1.14,light rain
121,Nikolskoye,RU,59.7035,30.7861,34.0,86,90,20.13,snow
122,Poronaysk,RU,49.2167,143.1167,22.24,95,100,17.52,snow
123,Sao Filipe,CV,14.8961,-24.4956,72.25,66,75,10.74,broken clouds
124,Isangel,VU,-19.55,169.2667,75.2,94,40,10.89,moderate rain
125,Lebu,CL,-37.6167,-73.65,63.9,60,0,6.64,clear sky
126,Panama City,PA,8.9936,-79.5197,91.4,58,40,13.8,scattered clouds
127,Faanui,PF,-16.4833,-151.75,83.35,68,8,9.35,clear sky
128,Butaritari,KI,3.0707,172.7902,82.06,76,97,16.42,moderate rain
129,Antalaha,MG,-14.9003,50.2788,78.12,84,100,8.05,light rain
130,Synya,RU,65.3718,58.0387,12.87,95,81,6.73,broken clouds
131,Dale,US,38.1689,-86.99,64.99,27,1,4.61,clear sky
132,Calabozo,VE,8.9242,-67.4293,96.37,29,14,9.24,few clouds
133,Ribeira Grande,PT,38.5167,-28.7,60.8,82,75,13.8,broken clouds
134,Svetlogorsk,BY,52.6333,29.7333,29.98,68,99,11.74,overcast clouds
135,Simao,CN,22.7886,100.9748,64.2,33,49,3.83,scattered clouds
