City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Nampula,MZ,2021-03-19 22:03:05,-15.1165,39.2666,73.4,94,75,3.44
67,Bluff,NZ,2021-03-19 21:54:51,-46.6,168.3333,55.0,85,95,5.99
68,Sao Felix Do Xingu,BR,2021-03-19 21:55:18,-6.6447,-51.995,70.39,99,100,1.34
69,Mogadishu,SO,2021-03-19 22:03:05,2.0371,45.3438,80.04,82,4,14.45
70,Flinders,AU,2021-03-19 21:57:28,-34.5833,150.8552,72.0,91,100,4.0
71,Vizianagaram,IN,2021-03-19 22:03:05,18.1167,83.4167,72.19,52,0,2.19
72,Saint-Philippe,RE,2021-03-19 21:54:28,-21.3585,55.7679,75.2,83,0,6.91
73,Kapaa,US,2021-03-19 21:54:39,22.0752,-159.319,69.8,78,90,23.02
74,Rizhao,CN,2021-03-19 22:03:05,35.4275,119.4553,42.51,57,100,10.36
75,Vostok,RU,2021-03-19 21:58:01,46.4856,135.8833,15.19,92,59,3.27
76,Inirida,CO,2021-03-19 22:03:06,3.8653,-67.9239,82.26,81,91,1.34
77,Orlik,RU,2021-03-19 21:58:11,52.5178,99.825,-7.26,87,1,2.66
78,Mayo,US,2021-03-19 22:01:41,38.8876,-76.5119,48.0,29,1,12.66
79,El Vigia,VE,2021-03-19 22:03:06,8.6219,-71.6506,81.14,82,95,1.45
80,Privodino,RU,2021-03-19 22:03:06,61.0781,46.5044,14.18,97,95,5.57
81,Kaitangata,NZ,2021-03-19 21:57:58,-46.2817,169.8464,56.12,72,55,9.69
82,Poum,NC,2021-03-19 21:58:38,-20.2333,164.0167,79.77,76,100,17.83
83,Esperance,AU,2021-03-19 21:57:14,-33.8667,121.9,59.0,94,0,13.8
84,Umtata,ZA,2021-03-19 22:00:31,-31.5889,28.7844,64.4,88,92,2.3
85,Mangrol,IN,2021-03-19 21:58:35,21.1167,70.1167,73.06,86,0,7.23
86,Balkhash,KZ,2021-03-19 22:03:06,46.844,74.9804,27.59,63,81,16.28
87,Vanino,RU,2021-03-19 22:03:07,49.0869,140.2543,22.5,74,29,2.77
88,Tuktoyaktuk,CA,2021-03-19 21:54:59,69.4541,-133.0374,-13.0,84,75,12.66
89,Ulaanbaatar,MN,2021-03-19 22:03:07,47.9077,106.8832,3.2,72,0,2.24
90,Komsomolskiy,UZ,2021-03-19 21:57:52,40.4272,71.7189,51.8,75,100,5.7
91,Jacareacanga,BR,2021-03-19 22:03:07,-6.2222,-57.7528,75.51,94,100,2.66
92,Mahebourg,MU,2021-03-19 21:57:09,-20.4081,57.7,78.8,78,40,13.8
93,Biharamulo,TZ,2021-03-19 22:03:07,-2.6319,31.3089,60.73,91,63,2.06
94,Namtsy,RU,2021-03-19 21:58:04,62.7161,129.6658,6.8,85,40,2.24
95,Castro,BR,2021-03-19 21:57:14,-24.7911,-50.0119,65.3,96,16,8.77
96,Opuwo,NA,2021-03-19 22:03:08,-18.0607,13.84,68.86,85,97,1.74
97,Mirnyy,RU,2021-03-19 22:03:08,62.5353,113.9611,9.21,94,95,9.95
98,Jiayuguan,CN,2021-03-19 22:03:08,39.8167,98.3,22.23,33,26,3.11
99,Punta Arenas,CL,2021-03-19 21:54:50,-53.15,-70.9167,51.8,58,40,37.98
100,Adrar,MR,2021-03-19 22:03:08,20.5022,-10.0711,74.37,17,0,14.5
101,Korla,CN,2021-03-19 22:03:09,41.7597,86.1469,35.83,70,0,7.31
102,Port Said,EG,2021-03-19 22:03:09,31.2565,32.2841,60.8,72,0,8.05
103,Port Hawkesbury,CA,2021-03-19 22:03:09,45.6169,-61.3485,19.0,79,90,21.85
104,Mount Gambier,AU,2021-03-19 21:57:03,-37.8333,140.7667,57.2,94,0,8.05
105,Progreso,MX,2021-03-19 22:03:09,21.2833,-89.6667,79.0,53,20,6.91
106,Salalah,OM,2021-03-19 21:57:51,17.0151,54.0924,77.0,38,0,1.14
107,Guiyang,CN,2021-03-19 22:03:10,26.5833,106.7167,50.0,93,90,11.18
108,Praxedis Guerrero,MX,2021-03-19 22:03:10,31.3667,-106.0167,73.0,14,1,5.75
109,Artur Nogueira,BR,2021-03-19 22:02:18,-22.5731,-47.1725,82.4,73,40,10.36
110,Granard,IE,2021-03-19 22:03:10,53.7667,-7.5,48.54,82,100,2.15
111,Madhogarh,IN,2021-03-19 22:03:10,26.276,79.1869,72.48,49,88,5.55
112,Narsaq,GL,2021-03-19 21:58:08,60.9167,-46.05,32.0,34,75,10.36
113,Durant,US,2021-03-19 21:58:36,33.994,-96.3708,66.2,39,1,10.36
114,San Felipe,VE,2021-03-19 22:03:11,10.3399,-68.7425,75.72,79,14,8.23
115,Srednekolymsk,RU,2021-03-19 22:03:11,67.45,153.6833,-17.48,86,0,2.3
116,Royal Tunbridge Wells,GB,2021-03-19 22:03:11,51.1325,0.2633,39.0,90,2,5.5
117,Hermanus,ZA,2021-03-19 21:54:32,-34.4187,19.2345,64.0,85,99,12.44
118,Hithadhoo,MV,2021-03-19 21:56:00,-0.6,73.0833,82.54,74,99,11.95
119,Kuito,AO,2021-03-19 22:03:11,-12.3833,16.9333,61.07,89,100,3.11
120,Agirish,RU,2021-03-19 22:03:12,61.9247,63.0231,15.39,95,98,8.37
121,Alihe,CN,2021-03-19 22:03:12,50.5667,123.7167,18.95,95,100,1.48
122,Dikson,RU,2021-03-19 21:57:48,73.5069,80.5464,-28.07,84,1,7.52
123,Najran,SA,2021-03-19 21:58:40,17.4924,44.1277,69.8,19,0,2.3
124,Carnduff,CA,2021-03-19 22:03:12,49.1667,-101.8009,58.23,33,0,14.03
125,Grindavik,IS,2021-03-19 21:54:44,63.8424,-22.4338,37.4,87,75,21.85
126,Catuday,PH,2021-03-19 22:03:12,16.2923,119.8062,78.26,79,16,5.46
