City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
179,Xuddur,SO,85.23,few clouds,4.1213,43.8894,Banjanay Hotel
180,Qandala,SO,77.95,clear sky,11.472000000000001,49.8728,
181,Jacareacanga,BR,82.98,broken clouds,-6.2222,-57.7528,Casa do Ian😎
185,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Hotel Plaza Providencia
187,Touros,BR,86.0,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
189,Copiapo,CL,69.8,clear sky,-27.3667,-70.3333,San Francisco de La Selva
191,Larap,PH,77.63,clear sky,14.299000000000001,122.6504,Montemayor Cove
199,Diu,IN,75.69,clear sky,20.7141,70.9822,Hotel Relax Inn
200,Arraial Do Cabo,BR,84.2,few clouds,-22.9661,-42.0278,Pousada Porto Praia
202,Celestun,MX,74.97,clear sky,20.8667,-90.4,Posada Lilia
203,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
204,Comodoro Rivadavia,AR,80.6,clear sky,-45.8667,-67.5,Hotel del Mar
209,Estelle,US,69.01,broken clouds,29.8458,-90.1067,Ohio
211,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
212,Buala,SB,79.43,light rain,-8.145,159.5921,Maringe Lagoon Lodge
214,Beloha,MG,77.07,scattered clouds,-25.1667,45.05,
215,Colomi,BO,66.2,scattered clouds,-17.35,-65.8667,Residencial EL TURISMO
217,Sao Raimundo Nonato,BR,85.64,broken clouds,-9.0153,-42.6994,Real Hotel
219,Tabuk,PH,73.17,moderate rain,17.4189,121.4443,Golden Berries Hotel and Convention
220,Matara,LK,76.48,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
223,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
224,Meadow Lake,US,66.0,scattered clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
225,Praia,CV,77.0,clear sky,14.9215,-23.5087,LT Aparthotel
227,Manono,CD,74.03,broken clouds,-7.3,27.4167,Hotel hewa bora
228,Ternate,ID,81.07,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
229,San Cristobal,VE,84.2,few clouds,7.7669,-72.225,Posada Villaven C.A.
232,Galle,LK,77.16,overcast clouds,6.0367,80.217,Amangalla
233,Daru,PG,79.88,broken clouds,-9.0763,143.2092,Daru Lodge
235,Bunga,PH,77.88,overcast clouds,11.4838,124.5918,Bunga Prime Resort
237,Namatanai,PG,80.15,light rain,-3.6667,152.4333,Namatanai Hotel
239,Maceio,BR,84.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
243,Lagos,NG,86.0,few clouds,6.5833,3.75,
245,Kavaratti,IN,82.85,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
247,Pemangkat,ID,77.88,light rain,1.1667,108.9667,Kost H.Syamsuddin
248,Charters Towers,AU,72.7,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
249,Sorong,ID,80.71,overcast clouds,-0.8833,131.25,The Waigo Hotel
253,Saurimo,AO,69.91,few clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
254,Gunnedah,AU,66.0,light rain,-30.9833,150.25,Gunnedah Motor Inn
255,Luganville,VU,77.47,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
256,Sao Francisco Do Sul,BR,87.01,light rain,-26.2433,-48.6381,Hotel Kontiki
258,Broken Hill,AU,68.0,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
259,Vangaindrano,MG,75.27,light rain,-23.35,47.6,Hotel Fanilo
262,Dingle,PH,78.31,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
266,Bathsheba,BB,84.2,few clouds,13.2167,-59.5167,Atlantis Hotel
267,Mbandaka,CD,70.72,overcast clouds,0.0487,18.2603,Guest House Epervier
269,Cabatuan,PH,77.9,overcast clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
270,Acapulco,MX,86.0,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
271,Yarada,IN,80.6,mist,17.65,83.2667,Jeevan
273,Catamarca,AR,78.01,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
276,Kiunga,PG,74.07,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
277,Mbaiki,CF,72.97,overcast clouds,3.8678,17.9892,
278,Agadir,MA,71.6,clear sky,30.4202,-9.5982,Iberostar Founty Beach
279,Najran,SA,77.0,clear sky,17.4924,44.1277,محمد هادي ال فطيح
280,Tabou,CI,81.07,scattered clouds,4.423,-7.3528,hotêl doufoulougou
281,Kutum,SD,78.91,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
285,Aswan,EG,89.83,clear sky,24.0934,32.907,Nuba Nile
288,Cidreira,BR,77.05,light rain,-30.1811,-50.2056,Hotel Castelo
290,Rio Grande,BR,73.4,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
291,Baiao,BR,81.88,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
292,Ancud,CL,66.2,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
298,Nizwa,OM,70.2,clear sky,22.9333,57.5333,Orient Apartments
299,Fare,PF,83.01,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
301,Moron,AR,79.0,light rain,-34.6534,-58.6198,Hotel Morón
307,Coihaique,CL,68.0,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
311,Ismailia,EG,85.71,overcast clouds,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
312,Yokadouma,CM,72.16,light rain,3.5167,15.05,Hôtel De Ville De Yokadouma
313,Catuday,PH,80.28,broken clouds,16.2923,119.8062,GResort
316,Pochutla,MX,89.6,few clouds,15.7432,-96.4661,Hotel Posada San Jose
320,Pouembout,NC,72.14,clear sky,-21.1333,164.9,Camping de Tipenga
322,Padang,ID,73.4,moderate rain,-0.9492,100.3543,Mercure Padang
326,Jijiga,ET,66.24,scattered clouds,9.35,42.8,RAMAAS HOTEL
327,Buluang,PH,75.78,scattered clouds,13.3068,123.3425,Enon Beach Resort
330,Buin,CL,75.2,few clouds,-33.7333,-70.75,Paihuen
333,Sulangan,PH,82.04,overcast clouds,11.1373,123.7228,Maia's Beach Resort
334,Papayal,PE,86.25,broken clouds,-4.0761,-80.7361,
335,Bacolod,PH,79.02,broken clouds,10.6667,122.95,Planta Hotel & Residences
337,Robertsport,LR,80.02,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
340,Great Bend,US,66.99,clear sky,38.3645,-98.7648,Best Western Angus Inn
343,Itapuranga,BR,79.99,clear sky,-15.5622,-49.9486,Terraço Hotel
344,Male,MV,84.2,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
346,Varadero,CU,77.0,few clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
347,Diamantino,BR,84.22,broken clouds,-14.4086,-56.4461,Hotel Delta
349,Ratnagiri,IN,75.47,clear sky,16.9833,73.3,Hotel Landmark
351,Gat,IL,73.99,overcast clouds,31.61,34.7642,OlusHome
355,Kununurra,AU,77.0,scattered clouds,-15.7667,128.7333,Hotel Kununurra
363,Azul,AR,73.0,clear sky,-36.777,-59.8585,Cabañas Dulcinea
364,Mumford,GH,81.75,clear sky,5.2618,-0.759,Spanish Villa
365,Sinnamary,GF,80.42,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
366,Rioblanco,CO,74.21,broken clouds,3.5308,-75.6806,hotel en tolima colombia
367,Sur,OM,74.64,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
375,Lingao,CN,65.68,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
